Name,Assembly Code,MF_Number
Hydraulic Elevators Service,D101010,14 24 43
Hydro-Mulching,G208020,32 92 13
"Hydronic Cooling Distribution, Site",G305040,33 61 00
"Hydronic Distribution, Facility",D305010,
"Hydronic Heating Distribution, Site",G305010,33 61 00
Hydronic Piping,D305010,23 21 13
Hydronic Pumps,D305010,23 21 23
Hydroponic Growing Systems,E109040,11 93 13
Hydro-Turbine Generators,D501010,26 32 19
Hyperbaric Rooms,F101050,13 21 16
Ice Machines,E103080,11 47 00
Ice Rinks,F105060,13 18 00
"Ice Rinks, EACH",F1040210,
Ice Storage,D303050,23 71 19
Identification Building Support Plumbing,D203090,22 05 53
Identification Communicaiions,D609010,27 05 53
Identification Cooling System,D303090,23 05 53
Identification Distribution Systems,D305090,23 05 53
Identification Domestic Water,D201090,22 05 53
Identification Electrical Service and Distribution,D502090,26 05 53
Identification Electronic Safety amd Security,D709010,27 05 53
Identification Facility Power Generation,D501090,26 05 53
Identification Fire Supression,D401090,21 05 53
Identification General Purpose Power,D503090,26 05 53
Identification Heating System,D302090,23 05 53
Identification Integrated Automation,D801090,27 05 53
Identification Lighting,D504090,26 05 53
Identification Miscellaneous Electrical,D508090,26 05 53
Identification Process Support Plumbing,D206090,22 05 53
Identification Sanitary Drainage,D202080,22 05 53
Identification Ventilation,D306090,23 05 53
"Identifying/Visual Aid Specialties, EACH",C1030510,
"Identifying/Visual Aid Specialties, SF",C1030520,
Impact Atienuating Devices,G201040,34 71 16
Incandescent Fixture (by )Type,D5020214,
Incandescent Fixture (by Wattage),D5020216,
Incineration Decontamination,G105020,02 53 13
Incinerators,E109010,11 81 19
Indoor Air Quality Procedures,Z102070,01 35 46
Indoor Air Quality Requirements,103056,01 81 19
Indoor Central-Station Air-Handling Units,D305050,23 73 00
Indoor Soccer Boards,F106010,13 28 13
Induction Units Cooling,D303070,23 82 26
Induction Units Heating,D302070,23 82 26
"Industrial Doors, Interior",C103070,08 34 19
Industrial Exterior,B205040,08 34 19
Industrial Furniture,E205030,12 57 00
Industrial Tumtables,D103030,14 71 00
Infection Control Procedures,Z102070,01 35 33
Information Environmental Assessment,304040,00 31 24
Information Existing Condition,304030,00 31 19
Information Existing Hazardous Material,304050,00 31 26
Information Existing Material,304045,00 31 25
Information Geophysical Data,304055,00 31 31
Information Geotechnical Data,304060,00 31 32
Information Specialties,C109020,10 10 00
Information Survey,304035,00 31 21
Informational Kiosks,C109020,10 18 00
Infrared and Radio Frequency Tracking Systems,D606050,27 53 16
Infrared Transmitter and Receivers,G501050,33 83 19
infrastructure Demolition,G102030,
"inlets, Exhaust Air",D306030,23 37 00
Insect Control Devices,C109090,10 81 16
Installation,Z107020,01 73 19
Installation Allowances,Z101010,01 21 23
Installer Qualifications,Z104040,01 43 23
Institutional Equipment,E1040,11 50 00
Institutional Equipment,E1020,
Institutional Furniture,E205030,12 56 00
Instructions,303010,00 21 00
Instructions Procurement,3030,00 20 00
Instrumentation and Control Building Support Plumbing,D203090,22 09 00
Instrumentation and Control Cooling System,D303090,22 09 00
Instrumentation and Control Distibution Systems,D305090,22 09 00
Instrumentation and Control Domestic Water Systems,D201090,22 09 00
Instrumentation and Control Electrical Service and Distribution,D502090,26 09 00
Instrumentation and Control Facility Power Generation,D501090,26 09 00
Instrumentation and Control Fire Suppression,D401090,21 09 00
Instrumentation and Control General Purpose Power,D503090,26 09 00
Instrumentation and Control Heating System,D302090,23 09 00
Instrumentation and Control Lighting,D504090,26 09 00
Instrumentation and Control Liquid and Gas Site Utities,G309010,03 09 00
Instrumentation and Control Miscellaneous Electrical,D508090,26 09 00
Instrumentation and Control Process Support Plumbing,D206090,22 09 00
Instrumentation and Control Sanitary Drainage,D202090,22 09 00
Instrumentation and Control Site Lighting,G405090,26 09 00
Instrumentation and Control Ventilation,D306090,23 09 00
Instrumentation Special,F1080,13 50 00
Insulated Rooms,F101050,13 21 23
Insulation,,
Insulation Building Support Plumbing,D203090,22 07 00
Insulation Cooling System,D303090,23 07 00
Insulation Distibution Systems,D305090,23 07 00
Insulation Domestic Water,D201090,22 07 00
Insulation Exterior Wall,B201080,07 20 00
Insulation Fire Suppression,D401090,21 07 00
Insulation Floor Construction,B101090,07 20 00
Insulation Heating System,D302090,23 07 00
Insulation Process Support Plumbing,D206090,22 07 00
Insulation Root Construction,B102090,07 20 00
Insulation Sanitary Drainage,D202090,22 07 00
Insulation Slab-On-Grade,A409010,07 21 00
Insulation Standard Foundation,A101000,07 21 00
Insulation Subgrade Enclosure Wall,A201080,07 20 00
Insulation Ventilation,D306090,23 07 00
"Insulators and Fittings, Site",G401020,33 71 23
Integrated Audio Evacuation,D705020,
Integrated Automation Control of,D80,25 00 00
Integrated Automation Control of Communication Systems,D801070,25 57 00
Integrated Automation Control of Conveying Equipment,D801020,25 52 00
Integrated Automation Control of Electrical Systems,D801060,25 56 00
Integrated Automation Control of Electronic Safety and Security Systems,D401080,25 58 00
Integrated Automation Control of Equipment,D801010,25 51 00
Integrated Automation Control of Facility Controls,D8010,25 50 00
Integrated Automation Control of Fire-Suppression Systerns,D801030,25 53 00
Integrated Automation Control of HVAC Systems,D801050,25 55 00
Integrated Automation Control of Plumbing Systems,D801040,25 54 00
Integrated Ceiling Assemblies,C107070,09 58 00
Integrated Construction,F1010,
Integrated Construction,F1020,
"Integrated Construction, EACH",F1020110,
"Integrated Construction, SF",F1020120,
Integrated Project Delivery,301010,00 52 95
Interactive Voice Response,D602030,27 33 23
"Interceptors, Sanitary Waste",D202010,22 13 23
Intercommunications and Program Systems,D606010,27 51 23
Interior,C109015,
Interior Construction,C10,
Interior Demountable Partitions,C101040,10 22 19
Interior Designers,203020,
Interior Door Frames,C103090,08 10 00
Interior Door Glazing,C103090,08 80 00
Interior Door Hardware,C103090,08 70 00
Interior Door Louvers,C103090,08 91 26
Interior Door Specialty Frames,C103090,08 30 00
Interior Doors,C1030,08 10 00
Interior Doors,C103090,
Interior Doors,C1020,
Interior Finish Schedules,C2090,
Interior Finishes,C20,
Interior Fixed Partitions,C101010,
Interior Gas Lighting,C109045,10 84 16
Interior Glazed Opening,C1010710,
Interior Glazed Partitions,C101020,
Interior Lighting,D504050,26 51 00
Interior Money-Changing Equipment,E101070,11 14 16
Interior Operable Partitions,C101050,
Interior Parking Control Equipment,E101030,11 12 00
Interior Parking Fee Collection Equipment,E101030,11 12 26
Interior Parking Gates,E101030,11 12 33
Interior Parking Key and Card Control Units,E101030,11 12 13
Interior Parking Meters,E101030,11 12 23
Interior Parking Ticket Dispensers,E101030,11 12 16
Interior Partitions,C1010,10 22 00
Interior Partitions Supplementary Components,C101090,
Interior Pedestrian Control Equipment,E101070,11 14 00
Interior Pedestrian Detection Equipment,E101070,11 14 43
Interior Pedestrian Fare Collection Equipment,E101070,11 14 26
Interior Pedestrian Gates,E101070,11 14 13
Interior Pedestrian Security Equipment,E101070,11 14 53
"Interior Planters and Artificial Plants, Movable",E205090,12 92 00
Interior Railings and Handrails,C109010,
Interior Scoreboards,E107050,11 66 43
Interior Screens,C101070,
"Interior Skin, Subgrade Enclosure",A201020,
Interior Specialties,C1090,
Interior Wall,,
Interior Windows,C1020,08 50 00
Interiors,C,
Interiors Commissioning,Z109010,01 91 23
"Intermediate Rib, Multi Span Steel Deck",B1020128,
"Intermediate Rib, Single Span Steel Deck",B1020127,
"Internal Cellular, Paging, and Antenna Systems Internet",D606050,27 53 19
Internet Conferencing Software,D601050,27 25 39
Internet Protocol Voice Switches,D602010,27 31 23
Intrusion Detection,D701050,28 16 00
"Intrusion Detection Control, GUI and Logic Systems",D701050,28 16 13
Intrusion Detection Interfaces,D701050,28 16 33
Intrusion Detection Remote Devices and Sensors,D701050,28 16 19
Intrusion Detection Systems Infrastructure,D701050,28 16 16
Investigations Geophysical,104050,02 31 00
Investigations Geotechnical,104050,02 32 00
Investigations Subsurface,104050,02 30 00
Investigations,104050,00 11 00
invitations,302010,
"Ironing Equipment, Commercial",E103035,11 23 23
irrigation Agricultural,E109040,32 86 00
irrigation Planting,G208010,32 84 00
irrigation Pumps,G208010,32 82 00
Joint Sealants Exterior Wall Openings,B201090,07 92 00
Joint Sealants Horizontal Openings,B306090,07 92 00
Joists Floor,B101010,
Joists Roof,B102010,
Kilns,E104010,11 95 13
"Kiosks, Informational",C109020,10 18 00
"Kitchen Appliances, Residential",E106010,11 31 13
Kitchen Sink Systems,D2010410,
Labeled Metal Door/Metal Frames,C1020116,
Laboratory Casework,E201030,12 35 53
Laboratory Chemical-Waste Systems,D206040,22 66 00
Laboratory Equipment,E104010,11 53 00
"Laboratory Equipment, EACH",E1020710,
"Laboratory Equipment, LF",E1020730,
"Laboratory Equipment, SF",E1020720,
Laboratory Fume Hoods,E104010,11 53 13
Laboratory Furniture,E205030,12 56 53
Laboratory Gas Systems,D206030,22 63 00
Laboratory incubators,E104010,11 53 16
Laboratory Processed Water Systems,D206050,22 67 00
Laboratory Refrigerators,E104010,11 53 23
Laboratory Sink Systems,D2010430,
Laboratory Sterilizers,E104010,11 53 19
Laboratory Vacuum Systems,D206020,22 62 00
Ladders,B108080,05 51 23
Ladders Roof,B302010,05 51 33
"Lagoons, Sanitary Sewerage",G302060,33 47 23
Laminated Wood Floor Beams,B1010265,
Land/Project Development,203070,
Landfill Construction and Storage,G105060,02 66 00
Landscape Architects,203020,
Landscape Edging,G208050,32 94 13
Landscape Lighting,G208070,26 56 26
Landscape Timbers,G208050,32 94 16
Landscaping,G2080,
"Landscaping Accessories, Interior Fixed",E201090,12 92 43
"Landscaping Accessories, Interior Movable",E205090,12 92 43
Landscaping Activities,G208080,
"Large Heating Systems, Hydronic, Electric Boilers",D3020104,
Laser Transmitter and Receivers,G501050,33 83 13
Laundry Accessories,C109040,10 28 23
"Laundry Appliances, Residential",E106010,11 31 23
Laundry Chutes,D105060,14 91 33
"Laundry Equipment, Coin-Operated",E103035,11 23 33
Laundry Sink Systems,D2010420,
Laundry Trays,D201060,
Laundry Trays Commercial,D201060,22 42 36
Laundry Trays Residential,D201060,22 41 36
"Laundry/Dry Cleaning, EACH",E1010 610,
Lavatories Commercial,D201060,22 42 16
Lavatories Residential,D201060,22 41 16
Lavatories Security,D201060,22 46 16
Lavatory Systems,D2010310,
Laws,Z104010,01 41 16
Leaching Pits,G303070,33 47 26.19
Lead Based Paint Remediation,F201030,02 83 19
Lead Hazard Control Activities,F201030,02 83 13
Lead Remediation,F201030,02 83 00
Lean Concrete Slurry Walls,A903070,31 56 23
Lecterns,E205030,12 56 39
"Lecture Hall Seating, Fixed",E201070,
Levelers,E101050,
"Levelers, Loading Dock",E101050,11 13 19.13
Library Casework,E201030,12 35 50
Library Equipment,E104010,11 51 00
"Library Equipment, EACH",E1020210,
"Library Equipment, LF",E1020230 ,
Library Furniture,E205030,12 56 51
Library Stack Systems,E104010,11 51 23
License Fees,Z7030,01 90 00
Life Cycle Activities,Z1090,
Lifts,D101020,14 40 00
Lifts,E101050,
Lifts Loading Dock,E101050,11 13 19.23
Lifts Mortuary,E104020,11 78 19
Light Gauge Steel Floor Systems,B1010244,
Light Pole (Installed),G4020210,
Lighting,D5040,26 50 00
Lighting Airfield,G204070,26 56 00
Lighting and Branch Wiring,D5020,
Lighting Area,G405010,26 56 23
Lighting Control,D504010,26 09 23
Lighting Control Devices,D504010,26 09 23
Lighting Control Panels,D504010,26 09 26
Lighting Fixtures,D504050,26 50 00
Lighting Flood,G405020,26 56 36
Lighting Interior,D504050,26 51 00
Lighting Landscape,G208070,26 56 26
Lighting On/Off Control System,D5020295,
Lighting Parking Lot,G202070,26 56 16
Lighting Playfield,G205050,26 56 00
Lighting Plaza and Walkway,G203070,26 56 33
"Lighting Poles and Standards, Site",G405090,26 56 13
Lighting Recreational Area,G205030,26 56 00
Lighting Roadway,G201070,26 56 19
Lighting Site,G4050,26 56 00
Lighting Supplementary Components,D504090,
Lighting Temporary,Z105010,01 51 26
Lightning Protection,D508010,26 41 00
"Lightproof Doors, Interior",C103070,08 34 33
Lights,E101050,
"Lights, Loading Dock",E101050,11 13 26
Lightweight Concrete Roof,B102020,03 52 00
Limited-Use/Limited Application,D101010,14 26 00
Line Equipment,E10308,
"Lintels, Exterior Wall Openings",B201090,
"Liquefied Petroleum Gas Distribution, Site
Liquid and Gas Site Utilities","G306010
G30",
"Liquid & Gas Storage Tanks, EACH",F1040510,
Loading Bridges,D103050,34 77 13
Loading Dock Equipment,E101050,11 13 26
"Loading Dock Equipment, EACH",E1030310,
Lockers,C109070,
lon Change Decontamination,G105015,
Louvered Equipment,B201060,08 92 00
Low Pressure Sanitary,G302020,33 33 00
Low-Slope Roofing,B301050,
Magnesium-Oxychloride,C203070,09 67 19
Magnetic Starter,D5020160,
Mail Boxes,C109070,10 55 23
Maintenance Contracts,Z107070,01 78 19
Maintenance Equipment,E103040,11 24 00
"Maintenance Equipment, EACH",E1090110,
Manholes & Catch Basins,G3030210,
Manholes Communications,G501010,33 81 26
Manholes Liquid and Gas Site Utilities,G309010,03 05 13
Manholes Sanitary Drainage,D202030,22 05 73
Manholes Sewerage,G302050,33 39 13
Manholes Site Electrical,G401020,33 71 19
Manholes Stormwater Drainage,D203020,22 05 73
Manufactured Fireplace Chimneys,C109050,10 31 13
Manufactured Fireplaces,C109050,10 31 00
Manufactured Masonry Exterior Wall Veneer,B201010,04 70 00
Manufacturer Engineered Structures,F102040,13 34 00
Manufacturer Field Services,Z104040,01 43 33
Manufacturer Qualifications,Z104040,01 43 13
Markerboards,C109020,10 11 16
Masonry Fireplaces,C109050,04 57 00
Masonry Flooring,C203040,09 63 00
Masonry Stair finish,C204040,09 63 00
"Masonry Veneer, Exterior Walls",B201010,04 26 13
Master Antenna Television Systems,D603010,27 41 33
Material Handling,D1050,
Mechanical Filtration Decontamination,G105010,02 51 23
Mechanical Metal Supports Building Support Plumbing,D203090,05 45 13
Mechanical Metal Supports Cooling System,D303090,05 45 13
Mechanical Metal Supports Distribution Systems,D305090,05 45 13
Mechanical Metal Supports Domestic Water,D201090,05 45 13
Mechanical Metal Supports Fire Suppression,D401090,05 45 13
Mechanical Metal Supports Heating System,D302090,05 45 13
Mechanical Metal Supports Process Support Plumbing,D206090,05 45 13
Mechanical Metal Supports Sanitary Drainage,D202090,05 45 13
Mechanical Metal Supports Ventilation,D306090,05 45 13
"Medical Equipment, EACH",E1020810,
Medical Sterilizing Equipment,E104020,11 71 00
"Meetings, Project",Z102010,01 31 19
MEP Engineers,203020,
Mercantile and Service Equipment,E103010,11 21 00
"Mercantile Equipment, EACH",E1010510,
Mercantile Storage Assemblies,C109070,10 56 33
Metal,,05 00 00
Metal Balconies,B101030,05 59 13
Metal Bollards,G206085,32 39 13
Metal Building Systems,F102040,13 34 19
Metal Catwalks,B108070,05 51 36.13
Metal Crib Retaining Walls,G206060,32 32 26
Metal Deck/Concrete Fill,B1010258,
Metal Detention Enclosures,F101050,05 59 63
Metal Door/Metal Frame,C1020114,
"Metal Fabrications, Interior",C2020,05 50 00
Metal Floor Decking,B101020,05 30 00
Metal Furring Ceilings,C205090,09 22 13
Metal Furring Wall Finish,C201090,09 22 13
Metal Gratings,B108070,05 53 00
Metal Joists Balcony Construction,B101030,05 20 00
Metal Joists Canopy Construction,B102030,05 20 00
Metal Joists Floor Construction,B101010,05 20 00
Metal Joists Mezzanine Construction,B101040,05 20 00
Metal Joists Ramps,B101050,05 20 00
Metal Joists Roof Construction,B102010,05 20 00
Metal Railings Exterior Balcony,B208050,05 52 00
Metal Railings Interior,C109010,05 52 00
Metal Ramps,B101050,
Metal Roof Decking,B102020,
Metal Siding Panel,B2010146,
Metal Siding Support,B2010154,
Metal Stairs,B108010,05 51 00
Metal Stairs Railings,B108050,05 52 00
Metal Stairs Treads and Nosings,B108010,05 55 00
Metal Supports Electrical Service and Distribution,D502090,05 45 16
Metal Supports General Purpose Power,D501090,05 45 16
Metal Supports Lighting,D504090,05 45 16
Metal Walkways,B108070,
Metal-Framed Skylights,B306010,05 45 16
Metal-Web Wood Joists Floor,B101010,06 17 36
Metal-Web Wood Joists Roof,B102010,06 17 36
Meteorological Instrumentation,F108040,13 53 00
Meters and Gages Building Support Plumbing,D203090,22 05 19
Meters and Gages Cooling System,D303090,23 05 19
Meters and Gages Distribution Systems,D305090,23 05 19
Meters and Gages Domestic Water,D201090,22 05 19
Meters and Gages Fire Suppression,D401090,21 05 19
Meters and Gages Heating System,D302090,23 05 19
Meters and Gages Sanitary Drainage,D202090,22 05 19
